tweet,sentiment,highlight
@vanessabyounes @adelkaram9 chou hal hadeya li ha2oun 20 000 ll majaleh 5000 ll w cd 1000 ll w 3elbet barazi2 16 000ll la2 bas mkalaf,Negative,Sarcasm
La wala aktar shway,Negative,None
La2 tawele belak marwan tize min ken seme3 fik law ma a3melak l helwe frown_sad_angry_pouting frown_sad_angry_pouting frown_sad_angry_pouting frown_sad_angry_pouting frown_sad_angry_pouting frown_sad_angry_pouting frown_sad_angry_pouting,Negative,None
Enno baddak ba3d 10 snin tenye!!!!??? Latgibo lkahraba??? Ya chabih lbani admin l3alam kello 3am bi2oul 3endkon hader belkahraba. Fachart ya harami wya 🐇🐇🐇🐇🐇,Negative,None
Lyom da2it rfi2it 3mte w ma b3rfa w dalit thkine chi 1h w blchit 3rft habe t3mle nursing bs lyke ya joya balelik hal chghle fkre b3den eno bdk trabe wledk w ta3ab w fkre bchi ektisad w t2amne masare w ykun helo Bro ana b3rfk chi? Merci 3al nasi7a bs ma hdn talab r2yik w merci happy_face_smiley,Negative,None
@Lak3ade: Mazel 7adertik be hal moustawa w hal ahammiyye.. Leh mch sem3in 3annik babe ? #MTVLEBANON #mtv #MTVLEBANON #mtv,Negative,None
Helo l hobb bess mch helo l habal,Negative,Sarcasm
W ela 3en tehke happy_face_smiley,Negative,Sarcasm
Kif bet oulo la hada btari2a mhazabe eno sar hake ktir la daraje tawashne,Negative,Sarcasm
Se3a 3 ma ba3refak...3anjad 3am tehkune fb chat ?,Negative,Sarcasm
Ba3ed fi sette ma 3emlet make up tutorial,Negative,Sarcasm
Habbet kif bye2tlo. #law #law,Negative,Sarcasm
@RayaneHakki ana nawre chou fike ta3mle frown_sad_angry_pouting,Negative,Sarcasm
@eddy_hatem ya3meli chi effet ba3ed,Negative,Sarcasm
W ba3den law chou ma ken ll arar tfaddalo khabbrouna min ba3ed rah yedrous men ba3d kell hal tshweshour @EliasBouSaab,Negative,None
Sar ma3e b Antoura,Negative,None
#haz_mafi hayda li ahlou me7tarin ydakhlou lau aw aub tab ma leh ???? #haz_mafi,Negative,None
Benet jirana 3emra 16 lyom khetbeta lol . . . . Khayfeh t3anis ma fhemet chou sayir 3layoun lbanet,Negative,Sarcasm
3anjad hayda esmo match football? 2 penalties misses? Eno walaw,Negative,Sarcasm
Hek faj2a twitter bi arrir ma ya3mel tweet lal soura li beddeh nazzela shu hayda frown_sad_angry_pouting #ElissaEditorInChiefJamaloukiMag #ElissaEditorInChiefJamaloukiMag,Negative,None
4.15 - 7.20 Home sweet home.. #TrafficJam Bi 2oulo tjanabo lebnen lech fi a7la men lebnen? #TrafficJam,Negative,Sarcasm
@TheBeardedPirlo ya 3ame eh w ktir helwe happy_face_smiley bass eno bi2ela b3atiyon taxi bt2ello hal2 beb3aton wtsp? Ymashoona,Negative,None
"Ahla shi bass yed3ouna ""li dabt l nafs"" w ""tajannoub l fetna"". Merci ya3ne 3melto sheghelkoun ktir mnih",Negative,Sarcasm
“@NellyGeorgeHarb: L ta2es ktir mounesab ta nekol hawa” Mnekol nekat kamena aw la2 ? happy_face_smiley,Negative,None
Mrab7eenek jmeele 3al $2000 yalle baddek tedfa3eehon lal course,Negative,None
My sleeping schedule kezbe aktar men Marwan Habib,Negative,None
Chu hal di3aye la beirut beer 3am fattich 3al refrain w 3a refrain y2echkun 2ach nchalla,Negative,None
Bye3jebne Hayda yalle 7odir 50 Shades of Grey bass ma byo7dar Mia khalifa l2eno 7aram,Negative,Sarcasm
@HoussamMazraani shft ness btt3ab kaza sene la tsir doc w hayda la ann sham ri7it awal sene medecine sar doc !!!,Negative,None
The two goals ma keno goals so ma tombosto ktir love .,Negative,None
@marieroseosta @Change Yl3n shaklik S2ltik kif happy_face_smiley Gebran 3ndo nes sawatetlo just so you know happy_face_smiley,Negative,Sarcasm
@nrkhwnd Lek hole metl sahar ghadar ya alla bdon yemsho be trend l thawra bas ma bdon ykono dod l hizb,Negative,None
Woslet Tekno Seyeseye M2asame Sene She3e Mase7e Yaane ka2ano ma sar thawra,Negative,None
@salibareema sarit men hol lclass li ma behko ma3 nes mich ktir famous,Negative,None
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana ba2a? besmaa sawta aktar men sot emme w emme ktir bet ne2,Negative,Sarcasm
chou wade3 l ghanam be jbeil?????,Negative,None
Helo ktir,Negative,None
Bta3erfo chou ahla chi? Eno mom bs tou3a bteje bet sakkir beb l ouda w bta3moul hoover aw hayala chi,Negative,Sarcasm
Hayde awal erbene mish 3eress wala chi chill !!,Negative,None
Bukra nezle Beirut w Ahle 3am b hasesune I'm going to war,Negative,None
Plz hada yeb2a yna2ila tyeba la @nadine njeim...mch masmou7 #MBCTheVoice #MBCTheVoice,Negative,None
@sami1jawad ma law btetfadal 3alyna w btehjouz w bteje b hal shaher bkoun shi ktir helo!!,Negative,Sarcasm
@kamilKfoury yeah yom ktir helo bukra happy_face_smiley,Negative,Sarcasm
Man2oushe jebne be 100000LL #HelloHyperinflation #HelloHyperinflation,Negative,Sarcasm
eemlin hal2et influencers l thawra w ma aazamoune b sifate akbar nekatjiye bel thawra? aayb w shame,Negative,Sarcasm
Ktir helo ! Sar fi shooting Monday kamen ! #ilooklikeazombie #needtosleep #ilooklikeazombie #needtosleep,Negative,None
@justaline1 @lama00lamlam ana li bya3emlouleh unfollow bkoun hekeh ma3oun w bhebboun w henneh kamen bas duno chou bi serloun byofosmo,Negative,None
Ma bsaddi2 eno rehet 3a mc donalds w aloule ma ba2a 3endon akel;/,Negative,None
@FaridaZeinaty Farida frown_sad_angry_pouting ente bta3rfe chou bene frown_sad_angry_pouting haha happy_face_smiley,Negative,None
Sociologic w physic w maths w helo hal sabah happy_face_smiley,Negative,Sarcasm
@TarekTamo eh ana chwei nezlet dame3te kamen,Negative,None
Eno le wazir al 3amal mabya3mil metel wazir al tarbeye !!?? Badna n3atil na7na kamen frown_sad_angry_pouting #storm #beirut #storm #beirut,Negative,None
Tkheyalo se3ten w nos men beirut la sour,Negative,None
sara5et,Negative,None
Chou khass tozz bmarhaba?,Negative,Saying
Hahaha U should See Me happy_face_smiley Ka2abet,Negative,None
hayda eli byefhamo fi lal asaf!,Negative,None
Ma assart ma mbayne aslan chou hiye,Negative,None
@faditarabay88 @sarah09998 @LBFJPA @wef @Gebran_Bassil La abadan bas t7alafna ma3 hizb alla w fawatnahon bil7okomeh layser el General ra’ees... 3an jad ino sho el mshkleh?,Negative,Sectarianism
Nahna aalam w hene aalam bro?,Negative,None
bara lebnen ya kalb ento 5hayneen,Negative,None
May 3ishuwa ktir madrid fans 2ino hine ze3lenin w maba3rf shu la2an fal di maria. bas utd fans elon ha2 la2an ronaldo is the worlds best,Negative,None
Deghre iza ken shi3e sar mentisib lal hezeb? Waw shu badkon fat khebez ba3ed..,Negative,Sectarianism
@NoourNk chakhes bighaneh sawto helo elo fatra bighaneh w heik bass 3a chou bet2alho lness w ouw3a tehko 3anna w yay w yi,Negative,None
La abdon not his job to steal people’s properties and make it his not even for the government. W ana sarah bebke bas emshe b shawere3 beirut. He completely changed the city’s identity and history. Hay ba3ed ma fetna b meliyit el dawle li nahaba. Alla yghane2lo.,Negative,None
Ana fhmen wejhtet nazarak...bas into from your point of view ma fhmenen ino n7na ma mnosa2 la bel 7ariri wala ghayro jarabnehon ktir w kil mara feshlo kilon y3ni kilon...Meshklitna msh bas mshklet mataleb..mshkletna meshklet the2a w la7 ndal n7arebon w 3lyna w 3ala 23de2na...,Negative,None
"#MTV ba3ed fi di3ayet ""ktir ktir ktir binaddif perlex"" ma 3edtouwa mit marra .. happy_face_smiley #MTVFailedAgain #MTV #MTVFailedAgain",Negative,None
@AliJMansour @HaifaWehbe trikou y3aweh la 7alo ana ma 7a 2ora chu 2al hayda lwateh ra7it 3lei ra7 ymout min ghirto mn naje7at haifa !,Negative,None
@wakanou_ Bass la ma3loumetik ma kenet 3am defi3 3al benet literally ma ba3refa bass kenet 3am 7awil wassilik fekrit enno el diaspora lezim ysedo ni3on iza 3andon shi y2oulo dod el thawra bass heik,Negative,None
Nshalla te7teri2,Negative,None
Chatrin tehko bl wirate bs ya sadi2e ra2is lhezeb bl kataeb byetsawat. Cheikh samy elo 25 sene bl kataeb w toli3 chwe chwe. Heyda hezeb t3azab ktir nhat bl freezer mnel 90 lal 2005 reji3 kamen nhat bl freezer la halla2. Eja jil jdid 3am yehke la masla7etna w ento jeyin t3etbo.,Negative,Sectarianism
@RayaneHakki chou nawar,Negative,None
@MishoRicha @NadimBayeh_ chou khas? ben iran w saudi iran is LESS WORTH tnaynetoun adrab men ba3ed w alla yeb3edoun 3anna.,Negative,None
Mouto kelkon,Negative,None
@AliKaraki91 ta tchouf adde mech taye2on lal engliz chouf chou 7eke 3anon ba3ed el game,Negative,None
bro l o*wet baadon mfakrin l thawra elon frown_sad_angry_pouting frown_sad_angry_pouting frown_sad_angry_pouting ndabbo kelkon yaane kelkon,Negative,None
@joemaalouftv please am bsma3 men ktir nes eno khayfenin ma yenzalo a ashghalon ta ma ya3mloulon shi. specially l shariket wel eshya l teb3a la randa berre!,Negative,None
Emme bedda tfajjer l bmw wel golf la2ano elman...khedelkon ba2a,Negative,None
"Beit wared sakar wa 7ayefta7o ma7alo turkish restaurant ""mehmet"" metl nusret so prepare yourself lal jala2an ba3d km shahr🙃🙃",Negative,None
Fi ktir wazawiz bel hamra ...,Negative,None
Halla2 toli3 bayye msaffar neswen 3al khalij?? lesh shou elo 3ale2a bel khalij? w ma zelik hal add bte7te2ri w ma bet 7ebbe nasso lesh kente tdallik mlazz2a bel maktab bi tyebik w manzarik el mou7taram natra yotla3lik 7ayalla dor? ste7e 3a dammik w 3a kabertik!,Negative,None
@GODjr_beirut meen al eno aslan 3am dawer 3a hadan mn h! jenes adam?!,Negative,None
@ayafares @TheseDamnQuote chou b fahmik ente aslan. Ktir sa3be hay,Negative,None
Madroub Hayda ! Shaklo nese Ino eja Min rahem lady !,Negative,None
@AhmadSharara bas 7asse twitter 7ay2oum 3layye happy_face_smiley ktir majlou2in fiyun enno ma khalas kello a team..,Negative,None
Hayda twitter mich site porno habibe ok? Bs balke ma kente 3erfa eno kermelik ya3ne,Negative,None
@FadwaRifai 100%.. Ktir sayir fi falaten w kello 3l hayin w yalla shou ma ken !,Negative,None
@G_Rizkallah be charafak chou khass naffis,Negative,None
Bonjour 30 alef 95 w bala ma totala3 3a fkhade merci,Negative,None
@GaelleAbiC chou bet hebbe halik,Negative,None
Ktir zaha2 w ktir shob.,Negative,None
I really feel like crying...jeboule chafra la chatteb w hek,Negative,None
donald trump? donald duck b zyede aa raebtak w ktir kamen,Negative,Bullying
@LamaGhaddar05 ma ktir tsad2e jaridet. Lakhbar,Negative,None
@MouhamadNahle lol ktir hek habal walaw,Negative,Bullying
@marwan_fd @Khalilsaad7 Se3den temo ad mgharit Jeita w mankhouro mtl kwe3 arayya,Negative,Bullying
@AliJMansour @BoshraTweets mafi majel lal mu2araneh haydak dress bikel me3na lkelmeh hayda charchaf ma3 berdeye lezim tnedeh bayadat lal be3,Negative,Bullying
KarlSarkis lezim yet3alam l2e7tiram w le3eb bi rou7 riadye 3ayb 3anjad ktir ... Mesh heik byel3abo basket #ShameðŸ‘Ž @LBCISports @ghayathdibra #Shame,Negative,Bullying
7asis 3youn nancy ajram ra7 yekhtefo ðŸ˜,Negative,Bullying
Hayda fehmen el snapchat ghalatðŸ˜.,Negative,Bullying
@AlineTanoury m chou belik fadeh ekhir hal leil belik bi dalida w ziad w eza habbo ba3doun tarako ba3doun lol chou hal adar,Negative,None
Chou hatta khasseh 3a rasa,Negative,Bullying
@Samaar_hw @RalphSlt hayda huwe zeto bi 7adis lbalad bss bija33ir aktar,Negative,Bullying
@Marwan_BFD @dankarz @MhamadDankar @AdhamArslan eza hada sa2al 3an lshabe kilo busy bl whatsapp,Negative,None
@AmaniEzzeddine la hayda esmo jahal happy_face_smiley,Negative,Bullying
I m in love with the Coco Chou ma elak ta3me bel hayet anta,Negative,Bullying
@cherif_allam hottellak chi soura m3atmeh aktar,Negative,Bullying
@rodolphbourgi hahahhahha hayde ktir bte7keðŸ˜‚ðŸ˜‚,Negative,Bullying
Ktir habile ente,Negative,Bullying
Shaklo metel balotelli hayda hahaha,Negative,None
Hayda mehen ya habibte,Negative,Bullying
@Douniakatibi eh ktir bahdale,Negative,None
@_Nikkiie_ w er happy_face_smiley,Negative,Foul language
Wli hayda twitter msh insta,Negative,None
@AsmarMaria 3anjed eno ana aw2at lama chufik 3am tdakhne b sir ma3e bonner! Min hal ahbal hayda li ma bye2ta3 wala b2ay tari2a,Negative,Foul language
Chou ossit #mentos w tde3wos ejren w ri7it ni3o. Enno ma fi afkar de3ayet a7san? #mentos,Negative,None
Ma 3am befham ma ken lwade3 mni7 chou li fawa3o heik,Negative,None
@Riita8 @andrea_lian helo 3ane happy_face_smiley,Negative,None
Ansar w liverpool 3laye ktir hal2ad,Negative,None
@sanatarabay hahahahah chou bakrah bass ysir heik 2achya,Negative,None
Ya la2eeme,Negative,None
MABEDDI EDROSS BADI THAWRA ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜«,Negative,None
@S_Assi 2reft l akel ya zalame ad ma akalt lyom,Negative,None
@fakihn allah la ywafe2on kif 3am bi2atloulna l jech lebneni aslan eza keno sena aw chi3a aw ... chou manon 3alam w 3endon ahel,Negative,None
Hayda minou le3ib haydi temssil thanx brazilðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž,Negative,None
Btw l goalkeeper ktir feshil ma byet7arrak 3nj afshal fari2,Negative,None
Ma2oule ba3dna bala houkoume 3an jad chou ktir so3be,Negative,None
Ya reit ya isteiz sabah mazeil bihimak baladak we zi3lein 3a wleid baladak trakiz chouway ktir 3ala moumasilin baladak...ma tiz3al minni hadortak m2asar ktir ma3 el chabeib bi libnein...libnein mich bas baneit hilwi ta tou2af 7ad moumasil souri...,Negative,None
@deliciadagher @halastyles ou3a 7ada y7kele chou l2ossa :&lt;,Negative,None
Ma bymshe l hal jem3a w hek ta2s b nafs l waet lol,Negative,None
7aram patchi w alfa m3atren anja2 betal3o 2-3 millions profit a year,Negative,Sarcasm
@Sami_Aoun_7 man @PaulGhanem 3ayouch bado yrou7 ma3 marwan w roberto w baraket yeskaro ðŸ˜“,Negative,None
@Gebran_Bassil Dakheel ijrek maba2a t2adim shi inta. Shfna kl shi shtaghalto lawen wasalna. Rte7 habibi nhna mn adim 3anak,Negative,Sarcasm
House logic be like : Hayda el cha5es chaklo merte7 bel nawme 5allina nbalich ndoj w neze3jo 7atta yfi2,Negative,Sarcasm
@FawazMay eno ma byitla3le bonjour?????ahl ljnoub kerama wala chou??????,Negative,Sarcasm
@AmmarFadlallah @HadyDoughman 3ayb 3lek ya sayid..zolom hayda biseer happy_face_smiley,Negative,Sarcasm
@TerrAyoun @Gebran_Bassil lesh n7na badna nsta2bel wnt7amal 3ala 7sebna aktar men ta2tna wbel e5er ele awaynhon byt3anona bdahrna,Negative,Saying
@NadimKolfat @charbels41 l helo fie 3am ynakit 3al sukleen w houe chauffeur taxi,Negative,Bullying
@AhmaddOssaily @RemAjam aslan hayda l shaytan li sharreke yeh la2an amerkene,Negative,None
Hala2 bedkon t2oulouleh eno mafi hada byel3ab call of duty online? Chu hal cha3b hayda?,Negative,None
@hasanmakki ma khas l history b hek happy_face_smiley ma tkun metl liverpool fans happy_face_smiley,Negative,Joke
@ousbou3fisa3a 2alla yse3ed chou biyefham,Negative,Sarcasm
@mlz 3adz 3melo ba3d chi machrou3 baleyÃ© #groupe #de #putes #groupe #de #putes,Negative,Foul language
Lech l 3alam ktir ferhane eno brad pitt w angelina jolie tjawazo ?? #ma_ykouno_emik_w_bayik_hbb ðŸ™Š #ma_ykouno_emik_w_bayik_hbb,Negative,Joke
Soukleen kenit 3am tekhid milliard zyede chu 3am thke milliard bta3ml ktir. Tol3it lriha msh mn wara soukleen bs mn wara wen 3am bi kebo lzbele bs em lcha3eb eno 3am bi mouto mnel riha bl costa brava w bl ne3me,Negative,None
Msh masmouh ade fi sa23a,Negative,None
Omg ðŸ¤¦ðŸ»â€â™€ï¸ li 3al autostradre,Negative,None
bi balad l3ajeyeb bi lbnen 7akim jara7 sh5os ynzouf dam bl 3yedeh w ynzat 3la lrasif w ma 7ad bys2al l7akim leh 3mlet hek !!!!!! hayda lbnen,Negative,None
Teb leh sa23a ?,Negative,None
"Fi hada y2elle chou ela ta3me ossit l ""prom date""",Negative,None
@JamalBarakat ma helo teksouf el 3alamlamma hada yetloub mennak talab helo tlabbe!!,Negative,None
Bas ma telkush shakhes ma ktir testaghreb ino battalo yehkuk.,Negative,None
Fiye efham ley dafir 2id lchmel bytwalo w dafir 2id lyamin bi dalloun 2sar Y3ne ktir jorsa hek yi haram,Negative,None
Eloun tlet se3at ben Dubai w Marmaris w ma na2o ! Walla lebnen ahla be ktir frown_sad_angry_pouting,Negative,None
Li helo b beitchabeb ano fi 16 knise bas li ahla bkouno noson fadyin w 3al a3yed bte3jo2,Negative,Sarcasm
Mich eno w3it lse3a 6 wbel 3ade bou3a lse3a 7 40 helo hek eh? coffee w osas lsebeh. LA2,Negative,Sarcasm
@KachmarAli @Janahakim el e7tiram ma khasso bi fare2 el sen. Fi nes akbar meneh b ktir w ma kharja e7terema,Negative,None
Ma3ke ha2 ana ma3ke bs ala cheikh samy 3aylti pierre ba3don wled badon yet3alamo w yekbaro bs 3aylit cheikh bachir 3aleyon hene yekhdo ll arar w sad2ine fi ktir 3alam by2bado mtl general aoun ma3ash jesh w ma3ash ra2is jumhuriye gher ma3ash ex neyib,Negative,Sectarianism
Wa2ef habal 5haye pls W 7ata wle men jam3tna ywa2fo habal 3a ja3ja3 w jonblat mbe5htlef bel eshya el s8her mnetjme3 bel eshya el kbere enta me2tne3 eno el harriri sara2 ? Keef lakan 5heser hal 2ad masare ?,Negative,Sectarianism
Bi chou belik lkel 3m yetzahar nzale tzahare ma3na,Negative,None
Ya aame anjad baarf eno sawte mez3ej w mesh helo w metl lm3zeye bas ana ray7 aal hafle la enbost w sare5 w 8ani ma3a mesh ta 23od khalass tsay7osh aalye,Negative,None
Nzelet Riyad solh today w ktir assbet no way elle aam besir no way,Negative,None
Ouaa tohdar you ana ma to2to ktir 3assabne,Negative,None
@MarcRashed4 enta ktir sa2il,Negative,Bullying
@samirsleem bro ne7na bisexuals chou fiya?,Negative,None
@VivoD3 @whos_al @alimouinjaber @rayaelhassan Ra7et el solta el tanfiziyi hala2 fi el tashri3iyi wel jomhouriyi...ya byetnezalo w by3mlonyali el thawra beda yeh ya 2ama mafi rest la yeghra2 lebnenðŸ˜˜,Negative,Sarcasm
@LaraAtat akid kel leil 3am bi fakir bi hakeh marwan charbel li bi fout bel aleb,Negative,Sarcasm
@HusseinAlameh @_mayarr @KRHamzeh Mayar kharabet bet twitter bhal soura enta,Negative,Bullying
omg please ma bsaddi2 fi nes ma3e bl grp 3am ta3mil psychology,Negative,Bullying
@StaracArabia lech w chou sabab ma3am thetou gheniyet mabtes2alch 3alaye li ghanetha kenza ????la2an mbayna ghada rah yaf2a3 2alba men lghir,Negative,Bullying
@NinarElkak chou beke Neuer. Mouhejim,Negative,Bullying
Wtf chou khas erdogan bl mouzaharaðŸ˜³,Negative,Foul language
@Karlsfeir ma baddak yo7daro terke ma beddak yo7daro jouzour chou baddak? Y2adouwa porno ya3ne?,Negative,None
@ayoubjanine um ana walla lyom 3am zawim hatta wl ac mdawar hahahah seret mhamam 3 marrat lol w now feyit ktir chob w ess,Negative,Foul language
@beainio Wlak yeslam timmak 3ala hal 7akki...ktir saar fi bala sharaf!!!!,Negative,Foul language
shu hayawanet ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,Negative,Foul language
@MarcRashed4 weer hayda taba3 mbereh?,Negative,Foul language
@samirsleem chou mfakarna milan ? Anw ana fe2id l amal hal sene CL so eh mafroud yta3mouna khara l layle,Negative,Foul language
Mich 3am tozbat ma3i. . . . Eh w chou mna3melak?,Negative,Joke
Bade efham chou khas lwardee bi allah ðŸ˜‚ðŸ˜‚ðŸ˜°ðŸ˜°ðŸ˜°ðŸ˜°,Negative,None
5tana2na men rihit l hari2,Negative,Known fact
@hazoon2014 chou beneh ???,Negative,None
Bro i live in a 50*C country w ma bhayeta ra2bte htar2it w asharit bas jeet 3a beirut sar hek leh...,Negative,None
E5te chou 5as lawena?,Negative,None
@ramonak23 @MarwaElMarouk ðŸ˜²ðŸ˜²ðŸ˜²ðŸ˜°ðŸ˜°chou hayda ya 3ayb el choum,Negative,None
Akid mish joker 7alabou,Negative,Saying
@AndrewBachir bass wla,Negative,None
WLE SHOU HAYDA WLE YNWA YNWAYNWAYNWA YA3NE MA BYETRABBO WLED EL HARAM KHALS,Negative,None
Chou kamm 3eres bel tankee?!!! :o,Negative,Saying
@RomyMChaoui uf oui fhemet! Hahah chou bekee??-.-,Negative,None
@ChaficAtallah @maxwont khaye mar chabel ma hada ba arreb 3lei chou fehem ?,Negative,None
kif wel qada2 menchara w kif yalli 3am b taleb bl mouhesabe houwe l fesed. ba3dein fi ktir ness bala chegel . chou bta3mol bte23od btetfaraj,Negative,None
Hayde me3de ha? Hayda kiss nailon!,Negative,Sarcasm
Chaklo 3eyich 3a gher kawkab hayda...,Negative,Bullying
@JoannaKai1 6 snin??? Rou7e 3mele 7akime chou ela 3aze 7ayawenet ?,Negative,None
@Samirnassar95 chou fiya chi helo? Elle please gher eno bs bass awal noss d2i2q ?,Negative,None
@maleksharif plz s2alo shou ra2yo bl shebeb yelle darabou l 3alam bl wassat Beirut w yelle 2awas b zalka,Negative,None
@HadchityMarc sadi2eh past mesh ya3ne men seneh ðŸ˜‚ bzakrak torres sarlo aktar men sene rayih men liverpool (l soura l enta hatayta abel),Negative,Sarcasm
Dakhlak HezbAllah chou bte3tebera milichia aw chou?,Negative,Sectarianism
@FaridaZeinaty hahaha chou m3asbe menno happy_face_smiley,Negative,None
hloff eno enta scientifique w bta3nel recherche hadret l neyeb li ma ba3ref esmak?! HAHAHHAHAHHAHA,Negative,Bullying
Lk badi a3ref li 7eko 3a set najwa la2na 7ata salib ra7o 7esabo w rej3o w tol3o mn ahel l jani lk feye a3ref chou hayda takhalof allah wa7ad,Negative,Sectarianism
@Gebran_Bassil plz plz gebran 5alik mtebe3 lmawdo3 ma ba2 badna phalesteneye wsoreyen 3ena el mawjoden bykafo,Negative,Racism
Hayda mfakar Sayyid l masi7 mtl Sayyid 7asan ðŸ˜‚ðŸ˜‚,Negative,Sectarianism
Lakk hel 3ana lal mara happy_face_smiley,Negative,None
@ChaficAtallah skot chafic,Negative,None
3an jadd chou alabte 90 daraje,Negative,Saying
Byehkoune ashkel ktir gharibe 3al kik,Negative,None
URGENT shab 3am yenzof bel m3ounet bi jbeil w bado A- daroure ... esmo Nader Matta w hayda ra2em bayo 71375399 el shab wahid please help,Negative,Known fact
marra jc al byel3ab l 3atwe eddeme w la halla2 ba3edne ma tkhattet,Negative,None
tab 3anjad haLa2 ma hassin wade3 l balad zbele w rayheen aa mahal ktir majhool cause kellu ale3ib?,Negative,None
Day3a w ana bi beirut ðŸ˜­,Negative,None
Seret khabsa chakhsen lyom,Negative,None
Wtf chou sar?,Negative,None
@Imadalhindi mouch 3ejebni iben el Maalouf lately mouch 3am byetla3 7esso ktir @jad_maalouf,Negative,None
Ktir ketranin l sha7adin hal fatra,Negative,None
Mammi hara2et ide,Negative,None
Plz @nabil_ajram tamina 3la nancy kter msh8ol balna 3leeha ðŸ˜’ðŸ˜­ðŸ˜‚ nancy sart a7san hl2 ???,Negative,None
Ana lezim arrir b asra3 wa2et chou bade etkhasas aw jem3a. Bass la chouu,Negative,Sarcasm
@HaveYuGotItYet ohh shit frown_sad_angry_pouting kherbene ktir ya3ne?,Negative,None
La2 msh ana!,Negative,None
Hayda tayaran aw shu,Negative,None
Je3et bas its not jou3 jou3 its stress jou3 fhemtoune??,Negative,None
Men wen toli3 haydaðŸ˜­,Negative,None
@Kami2kira hayda shi beshahe ? :s,Negative,None
@Maria_Kassis Leh ktir meshweye:o,Negative,None
Ya deli 3alikon be hal sa23a allah y2wikon,Negative,None
ktir bhes ma hada ha yelkeshne iza hatayta shou awlik,Negative,None
@HusseinRimmani ktir ha itdeya2 iza fal.,Negative,None
ana men hala2 la tos2ot lhoukoume kella w tokhlas l thawra ma rah otlaa aal autostrade,Negative,None
Chou lal chaba3 el infijaret,Negative,None
Chou helo hal balad moukhayamet w sle7 w 3adeh happy_face_smiley,Negative,Sarcasm
Woah kenet nkhabaset... le ma meshe asra3 w khabasneðŸ˜³ðŸ˜¡,Negative,Sarcasm
"@JoanneSayssa nawre: ""sabaho ya helo"" jana : "" joanne run frown_sad_angry_pouting """,Negative,Sexism
